bucket_start,total_requests,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_cost,actual_cost,total_duration_ms,active_users,computed_at,account_cost
2026-05-28 12:00:00+08,301,1879202,132315,0,45133312,35.932116,35.932116,3550053,1,2026-05-30 21:36:00.654775+08,35.932116
2026-05-29 02:00:00+08,208,1356139,140014,0,28270336,25.116283,25.116283,3271613,1,2026-05-30 21:36:00.654775+08,25.116283
2026-05-29 00:00:00+08,214,1501200,145455,0,32231424,27.985362,27.985362,3486905,1,2026-05-30 21:36:00.654775+08,27.985362
2026-05-29 05:00:00+08,244,1309090,113269,0,38954752,29.420896,29.420896,2935649,1,2026-05-30 21:36:00.654775+08,29.420896
2026-05-29 20:00:00+08,18,425592,13661,0,3171456,3.1647486,3.1647486,279029,1,2026-05-30 21:36:00.796374+08,3.1647486
2026-05-30 02:00:00+08,100,426739,43954,0,14934912,10.919771,10.919771,1146127,1,2026-05-30 21:36:00.796374+08,10.919771
2026-05-30 07:00:00+08,33,39631,18734,0,2079104,1.799727,1.799727,417148,1,2026-05-30 21:36:00.796374+08,1.799727
2026-05-29 18:00:00+08,146,569900,82924,0,19395840,15.03514,15.03514,1949987,1,2026-05-30 21:36:00.796374+08,15.03514
2026-05-30 10:00:00+08,81,438896,29075,0,5524736,2.8760798,2.8760798,780137,1,2026-05-30 21:36:00.978674+08,2.8760798
2026-05-30 15:00:00+08,21,266814,12633,0,1381760,2.40394,2.40394,287614,1,2026-05-30 21:36:00.978674+08,2.40394
2026-06-01 19:00:00+08,107,388058,66153,0,10290304,9.070032,9.070032,1526244,1,2026-06-01 20:02:00.654997+08,9.070032
